Writing models at epoch 1
Loss 0.0757706994595735, Test Accuracy 0.9543043368536493, Train Accuracy 0.981389216668364, Val Accuracy 0.9519456421551498, Test Seq Accuracy 0.068, Train Seq Accuracy 0.6365000000000001, Val Seq Accuracy 0.1475
Writing models at epoch 2
Loss 0.020157585973324982, Test Accuracy 0.9573152039362036, Train Accuracy 0.9948726603086444, Val Accuracy 0.9536956416523975, Test Seq Accuracy 0.10974999999999999, Train Seq Accuracy 0.888142857142857, Val Seq Accuracy 0.18300000000000002
Loss 0.009442351434541784, Test Accuracy 0.9608260741700296, Train Accuracy 0.9976542406570837, Val Accuracy 0.9534456399471863, Test Seq Accuracy 0.16175, Train Seq Accuracy 0.9466666666666668, Val Seq Accuracy 0.16525
Loss 0.0037601632268532462, Test Accuracy 0.9588912926290346, Train Accuracy 0.9998002071188103, Val Accuracy 0.9525543360606484, Test Seq Accuracy 0.10775000000000001, Train Seq Accuracy 0.9954047619047635, Val Seq Accuracy 0.14175
Writing models at epoch 5
Loss 0.002049608561007873, Test Accuracy 0.9583260759063389, Train Accuracy 0.9999337474381702, Val Accuracy 0.9604347701953805, Test Seq Accuracy 0.0895, Train Seq Accuracy 0.9984761904761912, Val Seq Accuracy 0.2780000000000001
Loss 0.001330976252970488, Test Accuracy 0.9590325976195543, Train Accuracy 0.9999989648042998, Val Accuracy 0.9598804232866868, Test Seq Accuracy 0.09675, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.2709999999999999
Loss 0.001932424371657164, Test Accuracy 0.95796737904134, Train Accuracy 0.9996076603730519, Val Accuracy 0.9588804232037585, Test Seq Accuracy 0.0895, Train Seq Accuracy 0.9910238095238111, Val Seq Accuracy 0.25425
Loss 0.0008230444205843884, Test Accuracy 0.9588478146687798, Train Accuracy 1.0, Val Accuracy 0.9550325961216636, Test Seq Accuracy 0.08600000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.166
Loss 0.0006039473025695137, Test Accuracy 0.958673901791158, Train Accuracy 1.0, Val Accuracy 0.9552282487568649, Test Seq Accuracy 0.08225000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1635
Loss 0.0004790841156373853, Test Accuracy 0.958673901791158, Train Accuracy 1.0, Val Accuracy 0.9550325965103896, Test Seq Accuracy 0.08225000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15925
Loss 0.0003894494603509488, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9548478138187657, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.156
Loss 0.00032213870840876, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9546195529077364, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.15075000000000002
Loss 0.00026993740997884584, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9542825965777687, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.1445
Loss 0.00022849333270088485, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9546521615722905, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14825
Loss 0.0001950181170326212, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9545543355786282, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14899999999999997
Loss 0.00016759115311762562, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9542391182287879, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14725
Loss 0.0001448598163931266, Test Accuracy 0.9591630320186201, Train Accuracy 1.0, Val Accuracy 0.9538260744965594, Test Seq Accuracy 0.0895, Train Seq Accuracy 1.0, Val Seq Accuracy 0.14425000000000002
