Loss 0.3097939283951469, Test Accuracy 0.8138043351795362, Train Accuracy 0.8258964653340926, Val Accuracy 0.7519782500422519, Test Seq Accuracy 0.0025, Train Seq Accuracy 0.006547619047619037, Val Seq Accuracy 0.0
Writing models at epoch 2
Loss 0.033833280853603195, Test Accuracy 0.9731521549432174, Train Accuracy 0.9905962555181412, Val Accuracy 0.962956512492636, Test Seq Accuracy 0.45375, Train Seq Accuracy 0.808904761904762, Val Seq Accuracy 0.24800000000000005
Writing models at epoch 3
Loss 0.010816101146780926, Test Accuracy 0.979978244719298, Train Accuracy 0.9968643825987111, Val Accuracy 0.9729239053052404, Test Seq Accuracy 0.59775, Train Seq Accuracy 0.9287619047619051, Val Seq Accuracy 0.4222499999999999
Loss 0.0028035835079524827, Test Accuracy 0.9836521637180577, Train Accuracy 0.9996376812211228, Val Accuracy 0.9695652039154716, Test Seq Accuracy 0.637, Train Seq Accuracy 0.9917142857142877, Val Seq Accuracy 0.39674999999999994
Writing models at epoch 5
Loss 0.0023289483202540355, Test Accuracy 0.9829999891312226, Train Accuracy 0.9999265010806098, Val Accuracy 0.973489116197047, Test Seq Accuracy 0.6292500000000001, Train Seq Accuracy 0.9983095238095246, Val Seq Accuracy 0.44800000000000006
Writing models at epoch 6
Loss 0.003665662654068159, Test Accuracy 0.9815869472596956, Train Accuracy 0.9998385093720557, Val Accuracy 0.9737934654173643, Test Seq Accuracy 0.6077499999999999, Train Seq Accuracy 0.9962857142857157, Val Seq Accuracy 0.48100000000000004
Loss 0.001821137802756351, Test Accuracy 0.9824021633552469, Train Accuracy 0.999336438223442, Val Accuracy 0.9747173792642095, Test Seq Accuracy 0.6252500000000001, Train Seq Accuracy 0.9847380952380961, Val Seq Accuracy 0.4645
Writing models at epoch 8
Loss 0.0013220907067475111, Test Accuracy 0.9810217291116714, Train Accuracy 0.9996024845549779, Val Accuracy 0.9757499861976374, Test Seq Accuracy 0.59975, Train Seq Accuracy 0.9908809523809543, Val Seq Accuracy 0.521
Loss 0.004583927924218385, Test Accuracy 0.9856956424920456, Train Accuracy 0.9998064182313086, Val Accuracy 0.9738478144873743, Test Seq Accuracy 0.6922500000000001, Train Seq Accuracy 0.99557142857143, Val Seq Accuracy 0.4445
Writing models at epoch 10
Loss 0.002420100019029949, Test Accuracy 0.9826086817876153, Train Accuracy 0.9998364389683149, Val Accuracy 0.9834021621424219, Test Seq Accuracy 0.6064999999999998, Train Seq Accuracy 0.9962380952380966, Val Seq Accuracy 0.6365000000000001
Loss 0.00038276215934235114, Test Accuracy 0.9836086896450623, Train Accuracy 0.9999503105817128, Val Accuracy 0.9814347702523937, Test Seq Accuracy 0.623, Train Seq Accuracy 0.9988571428571433, Val Seq Accuracy 0.6085
Loss 0.00030890860311363053, Test Accuracy 0.9835652098707531, Train Accuracy 0.9999275362022668, Val Accuracy 0.972260856628418, Test Seq Accuracy 0.6220000000000001, Train Seq Accuracy 0.9983333333333343, Val Seq Accuracy 0.43274999999999997
Loss 0.00017264469162277553, Test Accuracy 0.9883804278529209, Train Accuracy 0.9999968944128996, Val Accuracy 0.9725869430148083, Test Seq Accuracy 0.73275, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.4285
Loss 0.00027133662091649097, Test Accuracy 0.9882282549920289, Train Accuracy 0.9999886128472986, Val Accuracy 0.9749782476736152, Test Seq Accuracy 0.73275, Train Seq Accuracy 0.9997380952380953, Val Seq Accuracy 0.52675
Writing models at epoch 15
Loss 0.00023067536075478014, Test Accuracy 0.9864891231060028, Train Accuracy 0.9999875776515984, Val Accuracy 0.9838586894066438, Test Seq Accuracy 0.7029999999999997, Train Seq Accuracy 0.999714285714286, Val Seq Accuracy 0.64775
Loss 0.00014325681790385556, Test Accuracy 0.9867282534423082, Train Accuracy 0.9998322981608333, Val Accuracy 0.9743152052164078, Test Seq Accuracy 0.7042499999999999, Train Seq Accuracy 0.996166666666668, Val Seq Accuracy 0.5014999999999998
Loss 9.538277821696323e-05, Test Accuracy 0.9876304264949716, Train Accuracy 1.0, Val Accuracy 0.9816739017548768, Test Seq Accuracy 0.731, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6192499999999999
Loss 6.695135759756617e-05, Test Accuracy 0.9864782540694527, Train Accuracy 1.0, Val Accuracy 0.976097815192264, Test Seq Accuracy 0.7029999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.50575
Loss 4.778882367131503e-05, Test Accuracy 0.9883369491152142, Train Accuracy 1.0, Val Accuracy 0.9828695595264435, Test Seq Accuracy 0.7404999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.62975
Loss 0.06482123810312022, Test Accuracy 0.9784021621165069, Train Accuracy 0.9866521614432088, Val Accuracy 0.9584021636973257, Test Seq Accuracy 0.54075, Train Seq Accuracy 0.7269047619047618, Val Seq Accuracy 0.22850000000000006
